Case_Type,Cases,Difference,Date,Country_Region,Province_State,Admin2,FIPS,Lat,Long
Deaths,4,0,4/8/2020,US,Guam,,66,13.4443,144.7937
Deaths,5,2,4/2/2020,US,Oklahoma,Tulsa,40143,36.11939621,-95.94013939
Deaths,4,0,4/19/2020,US,Indiana,Warrick,18173,38.08922676,-87.2716085
Deaths,6,0,4/25/2020,US,Montana,Toole,30101,48.65577551,-111.6942414
Deaths,5,1,4/2/2020,US,Texas,Denton,48121,33.20521901,-97.11691153
Deaths,9,1,4/6/2020,Cuba,N/A,,,21.521757,-77.781167
Deaths,2,0,4/25/2020,US,Louisiana,Franklin,22041,32.13675181,-91.67589857
Deaths,2,-3,4/14/2020,US,Texas,Hale,48189,34.07044901,-101.8268114
Deaths,2,0,3/28/2020,US,Ohio,Stark,39151,40.81482476,-81.36437305
Deaths,5,0,4/1/2020,US,Georgia,Clarke,13059,33.95436462,-83.37124007
Deaths,1,0,4/29/2020,US,Vermont,Bennington,50003,43.03519828,-73.09048868
Deaths,1,0,4/5/2020,US,Kentucky,Grant,21081,38.64962758,-84.62415957
Deaths,1,1,4/5/2020,US,Indiana,Whitley,18183,41.13863784,-85.50791236
Deaths,1,0,4/23/2020,US,Mississippi,Union,28145,34.49162015,-89.00776006
Deaths,1,0,4/9/2020,US,Missouri,Henry,29083,38.38482826,-93.79293734
Deaths,4,1,4/9/2020,US,Georgia,Randolph,13243,31.76622818,-84.75732369
Deaths,2,0,4/20/2020,US,Vermont,Windsor,50027,43.58010937,-72.58595157
Deaths,1,0,4/17/2020,US,Mississippi,Warren,28149,32.35810271,-90.83352619
Deaths,26,0,4/1/2020,San Marino,N/A,,,43.9424,12.4578
Deaths,8,1,4/15/2020,US,Florida,Volusia,12127,29.05858895,-81.18263252
Deaths,8,0,4/5/2020,US,Tennessee,Hamilton,47065,35.17670231,-85.16652245
Deaths,1,0,4/9/2020,US,Kentucky,Bourbon,21017,38.2054607,-84.21827874
